author,content
"
雪上亦生花
","


小时候，河里别人养着很多乌鬃鹅，经常在路过的时候，专心致志，目不斜视地看着鹅场的老头在围栏水里摸鹅蛋，馋得能听到自己咕咕吞口水的声音。"
"
<落落倾城&…
","


最近我妈迷上跳广场舞，每天早早的吃完饭就出门了。我开玩笑对我爸说:小心我妈被跳舞的老头拐跑了。"
"
老巫婆～～
","


和老公冷战中！"
"
歌歌哒f
","


和媳妇相亲结识的，今天突然对我大吵大闹。"
,"


老公的堂姐比老公早生两天。小时候两人闹玩，堂姐打了老公一下就开始跑，老公就在后面追，堂姐在前面一边跑一边大喊    “救命啊！！！！！！杀猪啦！！！！！！救命啊！！！！！杀猪啦！！！！！！！”

"
"
初夏～繁花如梦
","


妹妹今年上二年级，最怕做算术题，今天数学测试考的又不好，被老妈揍了一顿，哭的抽抽噎噎坐在书桌前抄题目，我于心不忍，赶紧跑过去擦擦她眼泪说:小样,别哭,我来跟你讲题,,你看这道题:小明家有16只鸡,小红家有18只鸭子,那么问题来了,"
"
无书斋主
","


昨晚十二点一哥们来电我问睡了没，我特么12点还不睡干嘛，特么烦，直接挂了！"
"
百毒不春
","


昨天卫生间下水道堵了，婆婆摸搜了好久也没疏通，只好打电话给专业的师傅，可师傅说晚点到，晚点到，晚了半天还没到."
"
捉鱼不抓虾
","


昨晚打牌，好运迷路了。"
"
小不正经的骆驼
","


怎么割.....这几天一天晴一天阴晴了就觉得应该出去玩阴了老认为不适合上课

"
"
<落落倾城&…
","


异地恋男朋友说给我寄了一箱零食让我查收一下，怀着兴奋期待的心情拿到快递，拆开一看，竟然是一套迪奥的化妆品！！！"
"
陌上℡
","


男友手指头上有倒刺，让我去找指甲刀，他要剪刺儿。 我懒得去找，告诉男友：“倒刺而已，不用指甲刀，我用手就能给你撕下来！” 男友不情愿的把手伸过来，问我：“你确定用手可以撕下来？” 我信誓旦旦的保证，用指甲捏住倒刺，用力一撕！就听到男友略带委屈的说：“你骗我！”

"
"
<落落倾城&…
","


前天和老公一起躺床上逛淘宝，天气转凉准备买一套法兰绒的四件套，看上了一套四百多，预付定金双十一可以减五十块，老公说那就等双十一再买吧可以省五十呢。"
"
半夜提枪就
","


迎面遇到了外甥交往了几年的前女友。"
"
泥泞坎坷T^T
","


第一次发:    本人富士康一名普通作业员，一天下班时间到了，车间男男女女都急着下班，但是还要排队过安检门，有一妹子腿长跑到前边了，然后她一男同事过来的有点晚就被落到后面了，妹子看到同事了就连着大喊两声，诶，你插我前面吧，你插我前面呗！！！可惜人家没领情。。。没领情。。。只看到妹子一脸无奈。

"
"
调皮丫头长的美
","


男友喜欢钓鱼，放假第一天就拉我去看他钓鱼，还别说，刚坐下不大会儿，就有鱼上钩了，把鱼拉上来后才发现忘了带装鱼的东西，男友左右巡视了一下，跟我说“想吃鱼不，，”"
"
挖鼻孔的老虎
","


昨天哥们出差回来找我夜宵，晚上有点凉，出门时我加了件绿色风衣。"
"
我是煮茶
","


那年，我想结婚，但缺个女朋友，于是我把我的二 维 马 贴在充电宝上。去商场餐厅吃饭，我看到一个女孩手机没电，我把充电宝借给她，告诉她我先去逛，让她充好电扫马归还我。   我等了两个小时，果然她加我了，我兴冲冲的约了见面，她变成了抠脚大汉！！他一看到我还说：“咋是个男的呢？刚刚不是一个美女把充电宝借给我吗？”

"
"
吃了两碗又盛
","


如果迎面过来一个美女，你第一眼先看哪？"
,"


我想说那些为孩子集赞的，这是糗百，集你大爷的赞！

"
"
黄山小妖
","


我从家出来，刚准备上车，一大娘就过来可怜巴巴的对我说道：“姑娘，我是外地的，过来看亲戚，结果走丢了，包也被偷了，一天没吃东西了，你能借我三百块钱吗？我坐车回家...”我一边上车，一边说道：“我没有钱...”大娘转身准备离开...我淡定的说道：“但你可以上车，我送你回家...”大娘哭着上车说道：“我在这问了一天了，终于有人相信我了...”

"
"
无书斋主
","


昨晚去看师傅，师傅师娘把钥匙丢了蹲在大门口相互埋怨，打开锁的电话说下班了，要明天……"
"
吃了两碗又盛
","


临时去县城开会，坐单位包车，半路上来个女同事，头发很凌乱，我就问:外面风这么大了吗？"
"
聊天不撩妹
","


早几年的事，电饭煲蒸了一锅饭，刚做好，老板车过接外地做一个多礼拜活。"
"
小、小陈
","


割个。有同事名字里面有个鹏字，他自己签字的时候把鹏写成了朋，然后就有人问，，你鸟去哪了？？，，你的鸟让谁打飞到哪去了，？？？，，云云，然后有一个二货当着所有人的面直接过去摸了一下说，，鸟不是在着呢么，（画面自己脑补）全办公室人笑疯。

"
