,date,open,close,high,low,volume,code
0,2001-08-27,-113.034,-112.849,-112.453,-113.329,406318.0,600519
1,2001-08-28,-112.949,-112.616,-112.591,-113.016,129647.79,600519
2,2001-08-29,-112.595,-112.702,-112.591,-112.751,53252.75,600519
3,2001-08-30,-112.719,-112.574,-112.501,-112.769,48013.06,600519
4,2001-08-31,-112.565,-112.59,-112.481,-112.627,23231.48,600519
5,2001-09-03,-112.556,-112.593,-112.49,-112.618,22112.09,600519
6,2001-09-04,-112.59,-112.51,-112.399,-112.613,37006.77,600519
7,2001-09-05,-112.483,-112.513,-112.428,-112.554,26066.95,600519
8,2001-09-06,-112.529,-112.645,-112.508,-112.678,28997.03,600519
9,2001-09-07,-112.68,-112.826,-112.6,-112.831,31552.25,600519
10,2001-09-10,-112.876,-112.645,-112.618,-112.945,18878.89,600519
11,2001-09-11,-112.627,-112.718,-112.6,-112.734,11390.81,600519
12,2001-09-12,-112.888,-112.773,-112.734,-112.893,25045.19,600519
13,2001-09-13,-112.767,-112.789,-112.716,-112.822,10986.68,600519
14,2001-09-14,-112.767,-112.716,-112.68,-112.805,7672.83,600519
15,2001-09-17,-112.755,-112.797,-112.718,-112.858,8983.97,600519
16,2001-09-18,-112.79,-112.725,-112.671,-112.796,10773.26,600519
17,2001-09-19,-112.716,-112.606,-112.606,-112.758,8650.53,600519
18,2001-09-20,-112.609,-112.661,-112.582,-112.68,11173.35,600519
19,2001-09-21,-112.719,-112.758,-112.662,-112.769,7879.72,600519
20,2001-09-24,-112.758,-112.76,-112.7,-112.769,4068.6,600519
21,2001-09-25,-112.719,-112.728,-112.673,-112.76,3488.45,600519
22,2001-09-26,-112.75,-112.755,-112.684,-112.769,4956.26,600519
23,2001-09-27,-112.755,-112.645,-112.595,-112.769,8778.04,600519
24,2001-09-28,-112.609,-112.575,-112.556,-112.68,17088.47,600519
25,2001-10-08,-112.591,-112.666,-112.559,-112.725,6552.17,600519
26,2001-10-09,-112.662,-112.538,-112.503,-112.662,9558.52,600519
27,2001-10-10,-112.538,-112.751,-112.515,-112.764,17548.69,600519
28,2001-10-11,-112.767,-112.813,-112.68,-112.831,12306.84,600519
29,2001-10-12,-112.787,-112.769,-112.654,-113.116,20010.7,600519
30,2001-10-15,-112.787,-112.893,-112.769,-112.965,9755.31,600519
31,2001-10-16,-112.924,-112.982,-112.805,-112.991,8319.91,600519
32,2001-10-17,-112.984,-113.089,-112.981,-113.142,12507.68,600519
33,2001-10-18,-113.089,-113.117,-113.007,-113.14,4983.46,600519
34,2001-10-19,-113.124,-113.213,-113.098,-113.3,15687.54,600519
35,2001-10-22,-113.249,-113.339,-113.178,-113.355,9760.65,600519
36,2001-10-23,-112.769,-112.757,-112.757,-112.945,40598.24,600519
37,2001-10-24,-112.63,-112.794,-112.627,-112.927,40682.39,600519
38,2001-10-25,-112.822,-112.968,-112.805,-112.972,16036.86,600519
39,2001-10-26,-113.0,-112.947,-112.929,-113.05,9002.2,600519
40,2001-10-29,-112.968,-112.893,-112.835,-112.968,4587.86,600519
41,2001-10-30,-112.902,-112.947,-112.86,-112.961,3484.17,600519
42,2001-10-31,-112.947,-112.938,-112.931,-112.982,4762.47,600519
43,2001-11-01,-112.938,-112.845,-112.833,-112.956,6643.03,600519
44,2001-11-02,-112.897,-112.883,-112.819,-112.918,3435.2,600519
45,2001-11-05,-112.947,-112.965,-112.901,-113.0,3690.76,600519
46,2001-11-06,-112.982,-112.92,-112.893,-112.996,2609.31,600519
47,2001-11-07,-112.947,-113.151,-112.947,-113.16,9325.38,600519
48,2001-11-08,-113.24,-113.178,-113.144,-113.306,7402.16,600519
49,2001-11-09,-113.178,-113.098,-113.039,-113.242,3760.76,600519
50,2001-11-12,-113.053,-113.196,-113.053,-113.21,2683.33,600519
51,2001-11-13,-113.252,-113.188,-113.178,-113.265,2673.81,600519
52,2001-11-14,-113.188,-113.187,-113.124,-113.188,769.0,600519
53,2001-11-15,-113.187,-113.181,-113.16,-113.213,2193.45,600519
54,2001-11-16,-112.734,-113.108,-112.734,-113.126,9954.7,600519
55,2001-11-19,-113.098,-112.938,-112.933,-113.107,3734.61,600519
56,2001-11-20,-112.911,-112.879,-112.853,-112.965,8069.08,600519
57,2001-11-21,-112.861,-112.915,-112.858,-112.965,5114.42,600519
58,2001-11-22,-112.908,-112.925,-112.893,-112.963,4198.79,600519
59,2001-11-23,-112.945,-112.95,-112.902,-112.986,3960.9,600519
