
TEST CASES
case	体型	年龄段	性别	pairings
1	胖	老年	男	3
2	胖	青年	女	3
3	适中	老年	女	3
4	适中	青年	男	3
5	瘦	少年	男	3
6	瘦	老年	女	2
7	胖	少年	女	2
8	适中	少年	~男	1
9	瘦	青年	~男	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
体型	年龄段	胖	老年	1	1
体型	年龄段	胖	青年	1	2
体型	年龄段	胖	少年	1	7
体型	年龄段	适中	老年	1	3
体型	年龄段	适中	青年	1	4
体型	年龄段	适中	少年	1	8
体型	年龄段	瘦	老年	1	6
体型	年龄段	瘦	青年	1	9
体型	年龄段	瘦	少年	1	5
体型	性别	胖	男	1	1
体型	性别	胖	女	2	2, 7
体型	性别	适中	男	2	4, 8
体型	性别	适中	女	1	3
体型	性别	瘦	男	2	5, 9
体型	性别	瘦	女	1	6
年龄段	性别	老年	男	1	1
年龄段	性别	老年	女	2	3, 6
年龄段	性别	青年	男	2	4, 9
年龄段	性别	青年	女	1	2
年龄段	性别	少年	男	2	5, 8
年龄段	性别	少年	女	1	7
